pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_dens,pl_insol,pl_eqt,pl_orbeccen,pl_ratror,pl_ratdor,pl_trandep,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_pnum,pl_ratror_reflink,pl_ratdor_reflink,pl_trandep_reflink
"Kepler-924 b",3.07000000,9.64000000,61.03701170000,0.3131800000,1.830000,19.9970,610.00,0.000000,0.02254900,56.590000,0.04375000,6167.00,1.230000,1.140000,0.0100,4.320000,1053.04000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"HD 203030 b",14.45958510,3496.11247700,,487.1000000000,6.350000,0.0000,1040.00,,,,,5603.00,0.856458,0.940000,0.3000,4.640000,39.25030000,1,,,
"Kepler-1186 b",2.23000000,5.60000000,16.07677615000,0.1281000000,2.770000,85.3850,724.00,0.000000,0.02222300,56.010000,0.05919000,5635.00,0.930000,0.950000,0.0000,4.490000,1337.25000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-1492 b",1.49000000,2.83000000,16.75255007000,0.1262000000,4.700000,11.5230,801.00,0.000000,0.01874100,29.400000,0.03650000,4712.00,0.720000,0.770000,0.0600,4.620000,331.55300000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"EPIC 206317286 c",2.09400000,5.03000000,17.51547200000,,3.010000,,,,0.02530000,34.540000,0.09480000,4752.00,0.758000,0.832000,0.0190,4.596000,314.35000000,2,"<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>","<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>"
"Kepler-1986 b",1.89000000,4.23000000,19.54896660000,0.1307000000,3.440000,26.6200,579.00,0.000000,0.02362100,50.200000,0.05238000,5549.00,0.732000,0.776000,-0.5400,4.600000,912.08500000,1,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-1448 b",1.61000000,3.22000000,12.27065865000,0.1058000000,4.240000,86.6450,811.00,0.000000,0.01631900,30.390000,0.03165000,5774.00,0.930000,0.950000,-0.1600,4.490000,768.90300000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-465 b",2.95000000,9.01000000,9.94067246600,0.0919500000,1.930000,227.8200,996.00,0.000000,0.02114000,19.867000,0.05238000,6310.00,1.290000,1.230000,0.0900,4.310000,553.07700000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-953 c",1.19000000,1.81000000,9.10967112000,0.0862000000,5.900000,121.0400,873.00,0.000000,0.01065000,12.490000,0.01264000,5416.00,0.990000,0.950000,0.2600,4.420000,258.89300000,2,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"HD 169142 b",13.10000000,953.48522100,,37.2000000000,2.330000,0.0042,71.02,,,,,7246.00,1.537020,1.850000,,4.276890,113.60000000,1,,,
"HD 150010 b",13.30000000,762.78817680,562.00000000000,1.4000000000,1.780000,48.9796,681.22,0.200000,,,,4153.00,16.200000,1.300000,-0.2500,2.100000,144.49000000,1,,,
"Kepler-92 c",2.60000000,6.10000000,26.72300000000,0.1905400000,4.747125,106.2070,781.00,0.040000,0.01560000,24.311700,0.01948000,5883.00,1.700000,1.210000,0.1381,4.050000,477.99200000,3,"<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
