hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"55 Cnc B","55 Cnc B c",7,33.74700000000,0.1300000000,2.16000000,,,5.30000000,1.40000000,-1.40000000,"Msini",2.890000,0.4613,0.260000,3286.00,"Radial Velocity"
"XO-6","XO-6 b",1,3.76500070000,0.0815000000,23.20263000,2.46598000,-2.46598000,1398.45200000,,,"Mass",0.620000,580.3860,1.470000,6720.00,"Transit"
"K2-261","K2-261 b",1,11.63346810000,0.1086000000,9.26982704,0.36989636,-0.33626942,68.96876432,7.94571018,-9.21702380,"Mass",0.473000,180.0000,1.107000,5490.00,"Transit"
"HD 164922","HD 164922 d",4,12.45800000000,0.1030000000,1.83000000,,,4.00000000,1.00000000,-1.00000000,"Msini",3.590000,66.9243,0.926000,5390.00,"Radial Velocity"
"TIC 290487717","TIC 290487717 b",1,3.40081822900,,6.63777941,0.74098205,-0.60714227,35.70000000,,,"M-R relationship",0.671000,,0.920000,5328.97,"Transit"
"TYC 2187-512-1","TYC 2187-512-1 b",1,691.90000000000,1.2200000000,12.50000000,,,104.88337431,6.35656814,-6.35656814,"Msini",0.295000,0.0279,0.498000,3734.00,"Radial Velocity"
"Kepler-700","Kepler-700 b",1,80.87206390000,0.3577000000,5.99000000,0.91000000,-0.50000000,30.00000000,,,"M-R relationship",0.767000,12.0710,0.980000,5692.00,"Transit"
"TOI-3757","TOI-3757 b",1,3.43875300000,0.0384500000,12.00000000,0.40000000,-0.50000000,85.30000000,8.80000000,-8.70000000,"Mass",0.270000,55.4000,0.640000,3913.00,"Transit"
"TOI-1231","TOI-1231 b",1,24.24558600000,0.1288000000,3.65000000,0.16000000,-0.15000000,15.40000000,3.30000000,-3.30000000,"Mass",1.740000,1.9300,0.485000,3553.00,"Transit"
"LHS 475","LHS 475 b",1,2.02908800000,0.0203700000,0.99100000,0.05000000,-0.05000000,0.94100000,,,"M-R relationship",5.310000,20.8000,0.262000,3300.00,"Transit"
"Kepler-1133","Kepler-1133 b",1,11.55562343000,0.0983000000,1.97000000,0.24000000,-0.15000000,4.54000000,,,"M-R relationship",3.260000,55.7580,0.930000,5569.00,"Transit"
"HATS-34","HATS-34 b",1,2.10616070000,0.0316600000,16.02887000,2.12971000,-2.12971000,299.07803000,22.88376000,-22.88376000,"Mass",0.400000,691.8428,0.955000,5380.00,"Transit"
"CoRoT-10","CoRoT-10 b",1,13.24060000000,0.1055000000,10.87000000,0.78000000,-0.78000000,874.00000000,50.85000000,-50.85000000,"Mass",3.700000,16.1089,0.890000,5075.00,"Transit"
"Kepler-824","Kepler-824 b",1,4.51436633000,0.0550000000,1.87000000,0.71000000,-0.23000000,4.16000000,,,"M-R relationship",3.500000,454.6040,1.150000,6035.00,"Transit"
"Kepler-1236","Kepler-1236 b",1,31.05716180000,0.1803000000,2.14000000,0.18000000,-0.22000000,5.22000000,,,"M-R relationship",2.930000,13.5710,0.860000,5337.00,"Transit"
"GJ 328","GJ 328 b",2,3771.00000000000,4.1100000000,13.30000000,,,797.74930157,73.10053361,-73.10053361,"Msini",1.860000,0.0049,0.650000,3897.00,"Radial Velocity"
"HR 5183","HR 5183 b",1,27000.00000000000,18.0000000000,13.10000000,,,1052.01202717,50.85254512,-38.13940884,"Mass",2.570000,0.0077,1.070000,5794.00,"Radial Velocity"
"Kepler-104","Kepler-104 b",3,11.42754800000,0.0940000000,3.10000000,0.53000000,-0.53000000,19.60000000,14.50000000,-12.40000000,"Mass",4.064848,119.9070,0.818000,5711.00,"Transit"
"HAT-P-51","HAT-P-51 b",1,4.21802091000,0.0504200000,13.50682174,0.19055267,-0.17934369,97.57332095,6.67439655,-6.35656814,"Mass",0.218000,310.0000,0.961000,5453.00,"Transit"
"HD 134060","HD 134060 b",2,3.26960000000,0.0444000000,3.16000000,,,10.10000000,0.79000000,-0.75000000,"Msini",1.760000,730.4602,1.095000,5966.00,"Radial Velocity"
"Kepler-141","Kepler-141 c",2,7.01060600000,0.0670000000,1.41000000,0.09000000,-0.09000000,2.57000000,,,"M-R relationship",5.040000,77.4120,0.878000,4910.00,"Transit"
"WASP-174","WASP-174 b",1,4.23370050000,0.0550300000,16.10730527,0.56044903,-0.56044903,104.88337431,28.92238504,-28.92238504,"Mass",0.135000,901.9000,1.240000,6399.00,"Transit"
"TOI-4773","TOI-4773 b",1,1.74528510000,0.0321600000,15.22179579,0.54924005,-0.53803107,1687.66884117,111.23994245,-108.06165838,"Mass",2.630000,3879.8071,1.452000,6740.00,"Transit"
"Kepler-48","Kepler-48 c",5,9.67395000000,0.0863300000,2.71000000,0.14000000,-0.14000000,14.61000000,2.30000000,-2.30000000,"Mass",4.010000,67.5930,0.880000,5194.00,"Transit"
"Kepler-1950","Kepler-1950 b",1,10.77690029000,0.0871000000,1.52696349,,,2.95000000,,,"M-R relationship",4.550000,75.8300,0.759000,5455.00,"Transit"
"HIP 35965","HIP 35965 b",1,26125.56497000000,15.8980000000,12.60000000,,,2589.98368864,1374.29003187,-970.96578339,"Mass",7.110000,0.0009,0.780000,4836.00,"Radial Velocity"
"Kepler-1978","Kepler-1978 b",1,10.84969477000,0.0914000000,2.67000000,0.38000000,-0.21000000,7.61000000,,,"M-R relationship",2.200000,49.3000,0.869000,5251.00,"Transit"
"Kepler-948","Kepler-948 b",1,7.76846622000,0.0749000000,1.85000000,0.32000000,-0.41000000,4.08000000,,,"M-R relationship",3.540000,126.2030,0.960000,5679.00,"Transit"
"Kepler-144","Kepler-144 c",2,10.10466500000,0.0940000000,1.35000000,0.26000000,-0.26000000,2.39000000,,,"M-R relationship",5.340000,207.2470,1.154000,6075.00,"Transit"
"HD 48948","HD 48948 d",3,151.92000000000,0.4894000000,3.24000000,,,10.59000000,1.00000000,-1.00000000,"Msini",1.710000,2.4600,0.686000,4593.00,"Radial Velocity"
"TOI-2145","TOI-2145 b",1,10.26112800000,0.1117000000,12.24020692,0.33626942,-0.31385146,1805.26535176,117.59651059,-108.06165838,"Mass",5.340000,515.9390,1.710000,6206.00,"Transit"
"Kepler-1397","Kepler-1397 b",1,47.44995500000,0.2586100000,1.72000000,0.19000000,-0.14000000,3.61000000,,,"M-R relationship",3.900000,58.1030,1.090000,6026.00,"Transit"
"Kepler-1984","Kepler-1984 b",1,1.99281233900,0.0238000000,6.81000000,0.75000000,-0.90000000,37.30000000,,,"M-R relationship",0.649000,48.8200,0.450000,3638.00,"Transit"
"HD 213885","HD 213885 b",2,1.00803500000,0.0201200000,1.74500000,0.05100000,-0.05200000,8.83000000,0.66000000,-0.65000000,"Mass",9.150000,1882.9400,1.068000,5978.00,"Transit"
"HD 213472","HD 213472 b",1,17000.00000000000,13.0000000000,13.10000000,,,1112.39942450,349.61124770,-187.51876013,"Msini",2.720000,0.0114,1.048132,5729.54,"Radial Velocity"
"Kepler-381","Kepler-381 c",3,13.39163500000,0.1170000000,1.12000000,0.25000000,-0.25000000,1.46000000,,,"M-R relationship",5.710000,225.3310,1.144000,6152.00,"Transit"
"Kepler-718","Kepler-718 b",1,2.05234990500,0.0322000000,16.56000000,6.97000000,-3.12000000,,,,"Msini",,1324.2000,1.180000,6191.00,"Transit"
"Kepler-572","Kepler-572 b",1,17.20523483000,0.1192000000,2.58000000,0.18000000,-0.17000000,7.18000000,,,"M-R relationship",2.300000,26.8890,0.830000,5212.00,"Transit"
"Kepler-306","Kepler-306 d",4,17.32664400000,0.1200000000,2.47000000,0.24000000,-0.24000000,6.66000000,,,"M-R relationship",2.430000,21.9830,0.750000,4954.00,"Transit"
"HD 10180","HD 10180 f",6,122.74400000000,0.4929000000,5.24000000,,,23.90000000,1.40000000,-1.40000000,"Msin(i)/sin(i)",0.913000,6.1329,1.060000,5911.00,"Radial Velocity"
"WASP-22","WASP-22 b",1,3.53269000000,0.0470000000,13.78707000,1.56926000,-1.56926000,212.94610000,60.38770000,-60.38770000,"Mass",0.444000,837.7034,1.460000,6000.00,"Transit"
"Kepler-1254","Kepler-1254 c",3,3.60084276000,0.0422000000,1.30000000,0.07000000,-0.12000000,2.24000000,,,"M-R relationship",5.600000,132.3910,0.780000,4985.00,"Transit"
"Kepler-1922","Kepler-1922 b",1,13.22259998000,0.1077000000,2.29064904,,,5.86000000,,,"M-R relationship",2.680000,71.1100,0.953000,5931.00,"Transit"
"TOI-1814","TOI-1814 b",1,6.36861010462,,5.18536642,0.39910545,-0.39030277,23.50000000,,,"M-R relationship",0.926000,216.0619,,4872.84,"Transit"
"Kepler-862","Kepler-862 b",1,3.14866453400,0.0390000000,2.21000000,0.44000000,-0.17000000,5.52000000,,,"M-R relationship",2.810000,547.2930,0.880000,5333.00,"Transit"
