pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_dens,pl_insol,st_mass,st_rad,st_teff,st_lum,st_met,sy_pnum,discoverymethod,pl_dens_reflink,pl_orbsmax_reflink,pl_insol_reflink
"EPIC 229004835 b",10.40000000,2.33200000,16.14113200000,0.1237000000,4.490000,69.7000,0.970000,0.999000,5868.00,0.02989,-0.1200,1,"Transit","<a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>","<a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>","<a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>"
"GJ 1061 c",1.81000000,1.19000000,6.68210000000,0.0342000000,5.900000,1.4000,0.120000,0.156000,2953.00,-2.76955,-0.0800,3,"Radial Velocity","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>","<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>"
"16 Cyg B b",565.73740000,13.50000000,798.50000000000,1.6600000000,1.260000,0.4540,1.080000,1.130000,5750.00,0.09729,0.0600,1,"Radial Velocity","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>"
"Kepler-1467 b",10.90000000,3.30000000,47.05690430000,0.2388000000,1.670000,7.9170,0.860000,0.820000,5332.00,-0.35052,-0.0700,1,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>"
"HD 174205 b",1334.87930940,13.00000000,582.00000000000,1.7000000000,3.340000,82.6990,1.800000,26.600000,4308.00,2.37840,-0.2800,1,"Radial Velocity","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=JEONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...662A..12J/abstract target=ref>Jeong et al. 2022</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>"
"Kepler-1952 b",2.07000000,1.23923346,27.21080017000,0.1724000000,5.980000,65.2700,0.922000,1.305000,5973.00,0.29100,-0.3400,1,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"TOI-561 e",12.40000000,2.51700000,77.14400000000,0.3300000000,4.300000,4.8900,0.806000,0.843000,5342.00,-0.28233,-0.4100,4,"Transit","<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>","<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>","<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>"
"TOI-178 b",0.96000000,1.20000000,1.91456010000,0.0260700000,3.142761,200.1045,0.647000,0.662000,4316.00,-0.86646,-0.2300,6,"Transit","<a refstr=LELEU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.211L/abstract target=ref>Leleu et al. 2024</a>","<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>"
"TOI-178 g",4.40000000,2.93900000,20.71663000000,0.1275000000,0.959369,19.4978,0.647000,0.662000,4316.00,-0.86646,-0.2300,6,"Transit","<a refstr=LELEU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.211L/abstract target=ref>Leleu et al. 2024</a>","<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>"
"TOI-1420 b",25.10000000,11.89000000,6.95610630000,0.0710000000,0.082000,139.0000,0.987000,0.923000,5510.00,-0.15181,0.2800,1,"Transit","<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>","<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>","<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>"
