pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbper,pl_dens,discoverymethod,st_teff,st_mass,st_met
"K2-223 b",0.89000000,0.10000000,-0.09000000,0.64000000,,,"M-R relationship",0.50557000000,4.990000,"Transit",5859.00,1.060000,0.1900
"TOI-6086 b",1.18000000,0.07000000,-0.07000000,1.76000000,,,"M-R relationship",1.38887250000,5.890000,"Transit",3200.00,0.254000,0.1100
"TOI-2322 c",1.87400000,0.06600000,-0.05700000,18.10000000,4.34000000,-5.36000000,"Mass",20.22552800000,14.690000,"Transit",4664.00,0.703000,-0.1200
"Kepler-1237 b",2.86000000,0.39000000,-0.21000000,8.55000000,,,"M-R relationship",84.57332260000,2.010000,"Transit",5472.00,0.940000,0.1200
"HD 178911 B b",12.60000000,,,2552.17490000,797.75330000,-797.75330000,"Msini",71.48400000000,7.010000,"Radial Velocity",5588.00,1.240000,0.2400
"Kepler-260 b",2.01000000,0.55000000,-0.55000000,4.70000000,,,"M-R relationship",8.18739900000,3.180000,"Transit",5250.00,1.013000,0.2900
"TOI-1683.01",2.63820000,0.27638700,-0.27638700,7.45000000,,,"M-R relationship",3.05753560000,2.230000,"Transit",4402.00,0.694661,
"TOI-6281 b",1.92416074,0.18572931,-0.16416748,4.36000000,,,"M-R relationship",1.05426244177,3.360000,"Transit",4533.23,0.650000,-0.0900
"TYC 4282-00605-1 b",12.40000000,,,3426.20740000,38.13960000,-38.13960000,"Msini",101.54000000000,9.870000,"Radial Velocity",4300.00,0.970000,-0.0700
"TOI-2136 b",2.19000000,0.17000000,-0.17000000,6.37000000,2.45000000,-2.29000000,"Mass",7.85192800000,3.340000,"Transit",3342.00,0.340000,0.0300
"HD 1690 b",12.50000000,,,2793.72570000,1153.72290000,-1153.72290000,"Msini",533.00000000000,7.860000,"Radial Velocity",4374.00,1.860000,-0.2700
"Kepler-196 d",2.66065673,,,7.56000000,,,"M-R relationship",122.08000180000,2.210000,"Transit",5132.00,0.805000,-0.0600
"Kepler-251 e",2.77000000,0.49000000,-0.49000000,8.10000000,,,"M-R relationship",99.64016100000,2.090000,"Transit",5526.00,0.891000,-0.0600
"K2-357 b",3.72000000,0.23000000,-0.21000000,13.40000000,,,"M-R relationship",16.34886370000,1.430000,"Transit",5794.00,0.980000,-0.0200
"HD 13167 b",13.10000000,,,1052.01730000,50.85280000,-50.85280000,"Msini",2613.00000000000,2.570000,"Radial Velocity",5671.00,1.350000,0.1900
