source_id,random_index,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,ruwe,astrometric_sigma5d_max,bp_rp
4191750096486498560,3017,0.8348754286531409,0.02763519622385502,30.21058464050293,-6.095084376507183,-5.809208521268144,18475.897348920786,5.103796005249023,3620.030517578125,15.020853042602539,1.0059483051300049,0.04149507358670235,1.0403318405151367
4089332684363438976,3142,0.8123249068290487,0.030143506824970245,26.94858741760254,-1.2143039876229427,-8.521151946185938,36368.63060415457,9.666474342346191,3762.346923828125,14.28554916381836,0.8901318907737732,0.04742255061864853,1.269087791442871
4269330606211022720,3154,0.47545331325302603,0.017187295481562614,27.663066864013672,-0.820872785563801,-3.416799530875378,79240.59296652068,22.491548538208008,3523.12744140625,13.439997673034668,1.1646184921264648,0.02728784643113613,1.0571575164794922
5901263113155908736,3170,1.5218867611087978,0.07138149440288544,21.320465087890625,-13.23450033722664,-10.893946294360852,3519.153050512531,2.51728892326355,1397.9932861328125,16.821271896362305,0.9935488104820251,0.1109543964266777,1.8225631713867188
2055701060198641536,3308,2.6675835817087914,0.023905500769615173,111.58869171142578,5.446166203440801,-2.3260422894006485,14493.090615437133,4.597075462341309,3152.67626953125,15.284463882446289,1.1055413484573364,0.03757644072175026,1.7413311004638672
4102899146038850432,3311,1.1843565808932577,0.021357107907533646,55.45491409301758,-13.830386530106555,-14.958547454977792,49830.67297971193,13.226058006286621,3767.61328125,13.943625450134277,1.0061920881271362,0.0399455726146698,1.316354751586914
5798674005346350336,3361,0.3736894086390199,0.010974625125527382,34.05031204223633,-5.7979959153629235,-3.0629991759716457,109859.21687322289,12.615192413330078,8708.4853515625,13.085275650024414,0.9407222867012024,0.017139285802841187,1.4587907791137695
6873519635930161024,3442,2.5661627277276153,0.09001453220844269,28.508316040039062,12.837739666520037,3.5055781203574217,2794.172975385799,1.9616025686264038,1424.433837890625,17.071733474731445,1.0716577768325806,0.1326480656862259,2.189607620239258
2080043526065481344,3460,2.612050296684078,0.031928032636642456,81.81056213378906,-38.91420879303177,-43.20805876160627,7679.298532513496,3.309246778488159,2320.557861328125,15.9740629196167,0.9639993906021118,0.053124066442251205,2.0043439865112305
1986688494875924224,3462,1.145115562782573,0.03114434890449047,36.76800537109375,-7.817733075392565,-2.812602739183623,8189.622477294911,2.5397114753723145,3224.627197265625,15.904207229614258,1.0384984016418457,0.04714888706803322,1.2805442810058594
5872338810507027968,3478,1.1938380438459908,0.021909702569246292,54.489009857177734,0.28226465053955185,-5.88620523492243,25111.78809658254,8.523131370544434,2946.31005859375,14.68767261505127,0.9717667102813721,0.03466247394680977,1.0496435165405273
1622538593166338432,3598,2.3445118260495006,0.011244169436395168,208.50912475585938,-23.699138424659907,-5.019757323218148,272533.9649215034,66.09028625488281,4123.66162109375,12.098814964294434,1.1733895540237427,0.019817495718598366,0.7077274322509766
2164572914860204544,3628,0.38322938828412817,0.015528450720012188,24.679176330566406,-2.0861352799464097,-2.905367707843608,43763.39309143702,11.736175537109375,3728.931396484375,14.084589004516602,1.0055333375930786,0.025944465771317482,2.6060104370117188
2029337245259289088,3635,0.33572815849144483,0.01452620793133974,23.111892700195312,-2.622211624348893,-5.076558982542417,57185.298113343066,15.392834663391113,3715.0595703125,13.794156074523926,1.004846215248108,0.019119715318083763,1.830857276916504
4579670889827432192,3639,0.6533440310069774,0.029661105945706367,22.026960372924805,-1.1786199784026563,-8.040373360167452,8416.115280395734,2.5240373611450195,3334.38623046875,15.874588012695312,1.0172964334487915,0.039799511432647705,1.1457014083862305
703532655452238592,3715,7.513264990316233,0.016803547739982605,447.1237487792969,-4.753118771321455,-7.496507650347014,1840204.4203217379,218.68357849121094,8414.91796875,10.025201797485352,0.9286965727806091,0.027101563289761543,0.8489904403686523
6065290869115994880,3719,1.0099024472235358,0.03314589336514473,30.468400955200195,-31.755501680398368,-16.976966793957946,19759.375949907215,11.387914657592773,1735.1180419921875,14.9479341506958,1.1883909702301025,0.05338497832417488,1.0132837295532227
5540250874024089856,3751,0.8565655448802347,0.014398491010069847,59.489952087402344,-9.491070968328861,9.651002983589837,37228.561848560756,6.423698425292969,5795.5029296875,14.260176658630371,0.9906241297721863,0.022669285535812378,0.8858213424682617
5896186358730705920,3872,1.695288718100998,0.057594772428274155,29.43476676940918,2.0057191624894073,4.448254812217674,5711.987288721698,2.2520830631256104,2536.31298828125,16.295398712158203,1.150118112564087,0.06577575951814651,1.7993488311767578
542552436476985600,3914,1.4463286783194225,0.02904454991221428,49.796905517578125,6.073985247796791,-3.8150437455349206,12619.050449364635,5.848291873931885,2157.732666015625,15.434800148010254,1.055736780166626,0.042910173535346985,1.4608774185180664
1820334893877862912,3940,0.6285697475889506,0.024210037663578987,25.963186264038086,5.575451174265785,2.068085443149332,26670.001502222178,5.810234546661377,4590.17626953125,14.622309684753418,1.0664262771606445,0.03686171770095825,1.000417709350586
4733786170513097984,4022,3.2038710472207024,0.05998974293470383,53.406978607177734,28.999862712801168,22.848060775251568,2054.1676703001754,1.7326629161834717,1185.5552978515625,17.405776977539062,1.0370358228683472,0.12179321050643921,2.3210678100585938
5355511720621464832,4108,0.9272288119947376,0.04526656121015549,20.483747482299805,-3.873182202014658,4.019651630665157,6203.491014742161,2.747483730316162,2257.880859375,16.20577621459961,1.1273517608642578,0.07287271320819855,1.140364646911621
4570380291447830528,4248,1.7959209861547576,0.01234325859695673,145.4981231689453,-3.4683937846150257,-22.406701453272337,73011.52126176508,10.046469688415527,7267.380859375,13.528888702392578,1.0073540210723877,0.017327599227428436,0.897557258605957
4522101697950855040,4311,0.7165060699249644,0.022595491260290146,31.710132598876953,0.046933057919886625,-2.3494126038776386,20935.616336994488,4.393033027648926,4765.640625,14.885152816772461,1.0088179111480713,0.03073115646839142,0.9088668823242188
2820891986953844608,4379,1.0525255092670536,0.03242456912994385,32.46073913574219,3.974838726259417,-3.3997578239066257,17341.444685442544,3.8926033973693848,4454.9736328125,15.089653968811035,1.0211294889450073,0.04087192565202713,0.9541606903076172
1807379039124867968,4476,0.49004119080648884,0.020217126235365868,24.238914489746094,-1.7036324885721366,-2.4701154518355217,27849.976818260766,4.501209259033203,6187.22119140625,14.575304985046387,0.9733068943023682,0.027322918176651,0.9868936538696289
4844597387605526016,4508,1.2208553696512916,0.059538036584854126,20.505468368530273,1.260323516902901,-4.746578667562747,2087.0597211331137,1.6579203605651855,1258.8419189453125,17.38852882385254,1.0076082944869995,0.11551675945520401,1.6126461029052734
2649310513083146368,4538,2.359694448888297,0.015941957011818886,148.0178680419922,26.118149053881204,-14.973235686565035,389660.67203279847,63.16996383666992,6168.44873046875,11.710650444030762,0.904599130153656,0.025512566789984703,0.783015251159668
5388733086468322176,4571,0.94787052858234,0.01319112628698349,71.85668182373047,-2.6817437215005704,-1.1500999011817064,1424503.1752375863,201.82908630371094,7057.9677734375,10.303208351135254,1.004646897315979,0.016240281984210014,1.1911592483520508
5554448141812497152,4599,2.6051691596625637,0.04730209335684776,55.07513427734375,18.090352875905115,-14.62637741288504,3431.4435440646835,2.7374582290649414,1253.5145263671875,16.848674774169922,1.0725651979446411,0.08138005435466766,2.3568105697631836
2034379502533178496,4639,1.6048479432630884,0.046988822519779205,34.15382385253906,-6.124172117002628,-10.314060243635764,3891.184905334677,2.0487799644470215,1899.269287109375,16.712162017822266,1.0600097179412842,0.07320444285869598,1.7765865325927734
545845370721163264,4645,1.4792810648805417,0.010006904602050781,147.82603454589844,-3.784082698371179,5.217936542919491,183959.78296333438,29.14800453186035,6311.23095703125,12.525559425354004,0.9379138946533203,0.016361039131879807,1.0194511413574219
