source_id,random_index,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_mag,phot_rp_mean_flux,bp_rp,parallax,parallax_error
286684600242041088,6036,15.912419319152832,8127.913033179279,2.253678798675537,16.359397888183594,3905.3330444891744,15.297743797302246,6026.438200494055,1.0616540908813477,0.7174943417764204,0.0339425764977932
372001724691739520,6071,14.039477348327637,45620.048966048285,10.194466590881348,14.457637786865234,22509.29729403692,13.453627586364746,32938.74545893575,1.0040102005004883,0.6132316039585582,0.019330177456140518
4204466253400093440,6157,14.936178207397461,19974.475855098124,13.283224105834961,15.603022575378418,7838.043595568279,14.141949653625488,17473.437898587843,1.4610729217529297,1.8833753900495096,0.03214162215590477
6054060594826205312,6170,15.332932472229004,13860.336775639655,5.954490661621094,15.73185920715332,6961.023591944573,14.742116928100586,10053.362804883203,0.9897422790527344,0.8124281220672405,0.02738562412559986
5253789371599123840,6173,9.90262222290039,2060145.7423274706,425.1489562988281,10.734259605407715,694565.1207359984,9.013519287109375,1966756.1747760435,1.7207403182983398,0.8957203224715602,0.013939942233264446
1155516936164348544,6197,16.62201690673828,4228.050384288167,3.1049275398254395,17.97395896911621,882.7406139041844,15.4791898727417,5098.96626856555,2.4947690963745117,4.260856776960618,0.06725700199604034
2153578618910254720,6249,18.06735610961914,1116.8739744846519,1.457543969154358,19.679975509643555,183.41168892116937,16.87820053100586,1405.6537329129953,2.8017749786376953,1.7834231575529658,0.08585431426763535
2214546508611118848,6251,14.374149322509766,33518.688851082254,5.982140064239502,14.818799018859863,16139.76144777363,13.762544631958008,24782.2321728142,1.0562543869018555,1.6651713267164896,0.015446683391928673
3563584393270893184,6308,16.427717208862305,5056.617860304644,3.1195623874664307,17.061124801635742,2046.2892719040913,15.676766395568848,4250.614990358821,1.3843584060668945,1.1688530828634283,0.05344552919268608
6884587182532681600,6323,15.670076370239258,10160.527179496328,3.6460797786712646,16.285873413085938,4178.951464438518,14.923026084899902,8510.357644163574,1.3628473281860352,1.715549603563276,0.038830049335956573
6709131824261449984,6349,14.656195640563965,25850.480667592274,6.174012184143066,15.095934867858887,12503.827100512774,14.04540729522705,19098.32853358081,1.050527572631836,0.6186559137155226,0.02532649226486683
5294163885202718976,6374,12.20321273803711,247549.17660313105,42.786624908447266,12.94603443145752,90573.90375133428,11.363548278808594,225807.72044576507,1.5824861526489258,0.6694235148372192,0.011084403842687607
3075955904089799552,6397,11.12310791015625,669427.3915786062,152.9748077392578,11.694805145263672,286744.29641028703,10.408632278442383,544133.478112739,1.286172866821289,12.599344304105063,0.01778518222272396
4823917158731790592,6405,16.13303565979004,6633.348543507832,3.130138397216797,16.899829864501953,2374.022205744965,15.271873474121094,6171.758206617285,1.6279563903808594,1.7538272038745357,0.03534408286213875
