source_id,random_index,ra,dec,l,b,parallax,pmra,pmdec
1805324945228250112,1853,304.8418786674389,15.124175834680647,56.847539256472174,-11.690864151569537,0.91486797385113,-0.623584543156072,-7.1039581613356315
3357708404410769536,1902,102.04136892882407,16.110861261460236,198.1645539707757,6.564729689048894,1.877139869370878,9.46531366167505,-16.036888382265772
4265185447405107072,1928,284.84608444555994,-0.7273707967594045,33.190365364847736,-2.099687919877168,0.5390887920663617,-5.2444660558945415,-28.54045650494668
4538304273096214016,1956,281.87074278973756,27.319600530328323,57.25211171766431,12.880590789212201,0.7415386836910706,-2.2997237434435966,-5.987297262824411
4277527151805382016,2063,274.30025227939734,2.353368312278066,31.11961297813657,8.688971129739002,1.2739211642446657,-11.352451633958461,-15.171457767776655
2048719504952281728,2064,296.1064206142032,36.63219394080204,71.14079183449824,6.224058203428154,1.3428895413989925,5.184455403273753,-1.9068065778756194
957326907241552384,2148,97.78986029658023,40.06956719931277,174.5518554045373,13.493828117251034,1.4678018902932781,0.3420449597886446,-14.081500092298974
5236880909969540864,2153,171.1856470883628,-66.61687119138523,294.4685588794855,-5.180295640108831,0.730269969849815,-6.849547532894827,5.624491951549107
426532072602628608,2157,14.090247080343982,60.52337054280277,123.53801295735765,-2.3425857549193836,1.6682256583190416,6.165827142767478,-1.7482038591441365
2225527430019146112,2161,346.5410222404466,69.35176591652645,113.83988310486374,8.359734423054407,1.098117513021661,10.239680847033744,1.1055255460059008
5969421491042538112,2276,250.55510071272684,-39.63558703551043,343.68330747212406,4.32498758529237,0.5811978890359222,-0.3320054240046394,-3.8366189223148957
2040415890049195136,2306,283.39272368149705,28.14561940443766,58.59084830710872,11.99290330933744,0.7892027976071235,-1.2899148541838983,4.873344354637144
2069232062590319744,2334,305.6147059994897,43.645687592394154,80.96200197167308,3.7622694683543925,0.6942738700032809,-8.496916023118397,-13.021212458436844
1999891877185927808,2419,334.21474343141796,49.28541287148208,98.74363048391066,-6.188115125886064,0.7347082569592928,-1.378646611640827,-2.3449419425830036
2009962853930789504,2467,346.09015225279876,57.377601875563094,108.865334781623,-2.540370219673756,1.3819397242585694,-5.355662325976548,-1.4243596283558093
1990855437785968640,2478,349.1890848019958,49.983355733875044,107.73163456561093,-10.07327917049331,0.5558497943562781,-4.197788939985261,6.006461937131455
5842402025149085312,2484,182.33698695691993,-72.99062917041,299.8186730646169,-10.37379554541179,0.7521385094713207,-8.118728683717785,-6.172500977187105
6726015821780357760,2521,272.8796961930472,-39.598367854662214,353.3150929359151,-9.892587720260874,0.6889080901300068,-5.216927922778272,-8.81998684592185
408502933757249152,2593,26.98098881045729,54.335518067475654,131.1834637476014,-7.628764769558556,1.2683116676209796,7.392724478359435,-8.535553647501068
423120597254837120,2668,1.3569937781102643,59.09221705419163,117.04335609945593,-3.252485677215358,0.5210391643942769,-0.9660201509679746,-1.8346613857928062
5251540423619948032,2755,155.50792241268707,-64.90125051933201,287.9208620194409,-6.47858441623191,0.8677200378590468,-5.232693875600989,5.2319509513966125
1971058524777089024,2799,323.2497773183419,44.79006101340785,90.06816216103658,-5.050703168742613,0.9354596915543135,1.0488269039870777,2.281874845093198
4273488031413578624,2875,278.5931504164789,1.0549561404388907,31.924657027354993,4.277820724397779,1.2969624091941092,1.8099488434348994,-6.761310626753263
6060045408391833088,2933,191.4007402476485,-58.35600516533246,302.16429316746087,4.507047772020551,0.6995025867093193,-7.078598965489254,-1.6260440052372345
6063456986818615808,2975,199.70667463245942,-56.52239420471698,306.72448648175487,6.147537355060186,0.5717465789157853,-11.912108088810838,-2.7370989787307454
2164713858510924416,3020,320.69881871031583,47.99819074907832,91.01836890308672,-1.517415471388201,0.9203697331103737,7.426363934260909,-3.9332037987357715
4089332684363438976,3142,276.0670255455711,-23.827949275605423,8.69748645284875,-5.044192706505513,0.8123249068290487,-1.2143039876229427,-8.521151946185938
5901263113155908736,3170,222.46139249312665,-50.545296115954365,321.4141010756227,8.028394419373448,1.5218867611087978,-13.23450033722664,-10.893946294360852
2216512469764172672,3287,329.361457289823,63.225001814014945,104.73997620871066,6.676375140783105,0.6573971296105161,-2.7716699992419405,-0.7651726359976542
