source_id,random_index,flags_flame
2170821095854881536,15056,10
3842841831122109824,15076,00
6197750581091002112,15127,00
5411339041237201408,15211,00
5199379759477686528,15403,00
2274332075410727552,15452,00
2125869487083389184,15465,00
5228576092469830528,15554,00
3053814969731762944,15656,00
5719595582879567488,15726,00
5412739514116942592,15777,00
2089117692449529856,15914,10
638313405262234112,15939,00
2306867032496555136,15990,00
2365959189715483520,16026,00
2974208266288624256,16095,00
2001468886099101952,16100,00
1065881591467674752,16202,00
5792566836721445760,16236,00
1365202603970900352,16257,00
4186773363265262592,16394,00
4666499013830653440,16420,00
3821882730019305728,16432,00
5466429285367722624,16487,00
5785810956242679680,16530,10
3467906819863169664,16754,00
6799384308512004480,16821,00
6720520187760539648,17035,00
6261185289547342592,17045,00
355732629094490368,17076,00
599099116900013952,17191,00
6109603386726836736,17425,10
6400874805878454528,17442,00
4292343934328038016,17460,10
4045770304191738496,17468,10
5192711157032467968,17486,00
4118915491413067392,17503,00
433674500126005504,17607,00
5672029885222279936,17624,00
2053826873899487616,17630,00
1963263468368804096,17679,00
6849651162635414016,17726,00
5337573291524493184,17773,10
4042018598723871488,17799,00
1577615434273925376,17849,00
5355371086206619136,17955,00
5516501044908590208,18001,00
5490809684404178688,18051,00
4532236961778181888,18086,00
4506520690507067904,18103,00
3057528398450504832,18186,00
3784964943489710592,18332,10
422572589484327168,18483,00
5803426816145396608,18520,00
4876939663872726272,18536,00
4441585526593865472,18591,00
6346071710376592768,18609,00
5566136435749996416,18626,00
142992109964443776,18639,00
2020956527123812352,18795,00
5634478024085105920,18823,00
3431884482477221376,18832,00
4934657599059015552,18883,00
5334749260272685184,19147,00
1351399781671750528,19189,00
894820362693238784,19271,00
1313787790987934976,19320,00
2112571890373328640,19376,00
5614320093310443008,19443,00
1807875399898638976,19454,00
6140252238987252352,19474,00
4519247778090225408,19491,00
3110215380747215872,19512,10
354950498369782912,19545,00
664186494413607680,19594,00
2013524378258910464,19612,00
2022838783627742976,19625,00
4463594175969472640,19651,00
3298478812532067456,19699,00
5878710411676456192,19780,00
521506787488039040,19965,00
1810336519237235584,19996,00
1992284764240978176,20024,00
2072497268555329664,20035,00
1925811559701043328,20038,00
2200620609732232832,20074,10
3427736089526480000,20161,00
3027053097230140416,20205,00
4972278145318569472,20299,00
5612582040301204352,20483,00
5205897153310727296,20489,00
4465462624181626880,20531,00
5253253256593585664,20564,00
1672022384557210624,20622,00
1546202868110936704,20627,00
6177123876091495808,20655,00
3019244086467265280,20658,00
5490733027828284416,20718,00
1534476232996494976,20731,00
3000261366108117760,20829,00
3474340440354025088,20850,00
4449686861408907648,20853,00
4196443602393466368,20865,00
1413696942270547968,20923,00
5838820988803680896,20936,00
1575553540733945088,20980,00
527013828920766848,21152,00
5958893121803793152,21489,00
2140552056118672384,21524,00
3209986852553921792,21674,00
5851952318808262272,21726,00
4537453629054321536,21749,00
6010273575001962880,21752,00
5318783084421455232,21773,00
4660713314948417408,21791,00
1815573935488765184,21798,00
5205542595170295936,21807,00
3810054772339129088,21982,00
3590062252470730624,22047,00
5409012444585903872,22064,00
5355103801786977024,22079,00
5656826903586763520,22093,00
5434456655465592192,22134,00
6630140709898350464,22140,10
6638475798307780480,22163,00
999428139477943168,22417,00
6401971431287861120,22483,00
4102174426062627584,22508,00
329798929364586624,22528,00
614215370261136896,22579,00
1960381957626513536,22600,00
6605693511231593600,22646,00
5209536639875708544,22698,00
6360573237955614336,22732,00
1125633039051464448,22840,00
2616450164978066688,22940,00
6721515825584137600,23072,00
3033311139460882304,23150,00
5970122915048659200,23157,00
5251152605250094720,23272,00
438144324132351616,23396,00
4803763110594712064,23416,00
6181900674294582400,23450,00
3686656444914785792,23480,00
4073539127496932096,23661,00
2172309967720183552,23668,10
3061985062674785536,23767,00
3109378618040324352,23786,10
2256953813099023744,23862,00
4312301101144813440,23952,10
1996568087891295360,23976,00
1143470381829512832,23988,00
5367233923294692352,24141,00
5836046749289792128,24165,00
1986415953431524864,24366,00
2060789290782412544,24429,00
6053710262917643008,24489,00
4599759929335649664,24511,00
4370577927504985088,24583,00
2083305399114462976,24587,00
1042485530217725952,24623,00
1346177891714400000,24626,00
566225815174471040,24627,00
2799403647095228416,24660,00
4525127553949092480,24678,10
5893328861137561728,24778,00
2061485212902421760,24805,00
6179604099446348288,24874,00
6482645623076557952,25096,00
1160923853313302656,25127,00
1303156063304022272,25157,00
315341721552964736,25214,00
1868296278257856640,25237,00
4054497334138827904,25298,00
3107960282400457984,25335,00
3856567137850620544,25338,00
2179103029739554176,25372,10
5160260995482558976,25373,00
3327226604895885568,25408,00
5860368874118771200,25444,00
5600497960838492544,25447,00
6189605124068918528,25460,00
6377830210390607616,25479,00
4182033574793402368,25481,10
4207242215324564608,25578,00
270458729196332672,25629,00
975141886124643200,25830,00
4482058412179453312,25846,00
5783966078806799872,25947,00
4692997205404748800,26126,00
330398609878269824,26168,00
5231405891800543872,26443,00
4759513780530592896,26500,00
1446414010265963648,26623,00
5912913813227745152,26632,00
6352970733523265536,26687,00
6268067059805474688,26689,00
3115768601660437376,26743,00
761206197855800704,26810,00
2240769517333923584,26925,00
4510534560758160640,26970,00
4289822857202191744,27082,00
3102474612729848192,27267,00
5300634992186721536,27297,00
4830941629283607936,27553,00
2109167046460195968,27608,10
6761415560697074944,27760,00
5737052593411118208,27790,00
4036710504495504640,27796,00
5318045174685533568,27838,00
3671731364841605120,27858,00
5307998455919212416,27897,00
6069856625504012800,27976,00
6056830225911551232,28138,00
2026725802068848896,28142,00
4768038706497252864,28264,00
3138753548640102144,28408,00
4065480600700474752,28470,00
3346848562422831104,28553,00
3314418638757982976,28591,00
888230641614378496,28654,00
2104302429064040704,28714,00
1069579695748718976,28962,00
5955691034690083840,28982,00
6110694682076610048,28988,00
2116223471567627264,29022,00
6869444708399977344,29024,00
6720997818168026880,29032,10
4759969867401789568,29091,00
1668492441131072640,29259,00
630601774302831488,29317,00
3307574900429279232,29389,00
5458458341464094336,29700,00
5350580445317135744,29710,00
5601604688009672320,29741,00
2168381416981801856,29839,00
5542277480113817344,29873,00
232623988625707776,30000,00
4576852841529281664,30028,00
202580795470433792,30029,00
4255906977939944320,30394,00
6580281293548537344,30397,00
5598260454670052864,30403,10
4266837493595177600,30460,00
5594239781166561280,30499,00
2899056302934501120,30556,00
374245480030993664,30647,00
6344269984478660352,30665,00
2250726243660573696,30718,00
3637035210275375744,30798,00
2826925797528959360,30840,00
5854828366280393728,30891,00
2155135875269723520,30936,00
5598539764983254656,30943,00
2235129022684285440,30944,00
5199657321743235712,30990,10
