surface,species,dE_star,n_sites
Ag6Cd6,N1,-274.174940028126,10
Ag6Cd6,O1,-442.4611463541805,10
Ag6Cd6,S1,-332.8525204214893,10
Ag6Cr6,C1,-157.09912123994582,9
Ag6Cr6,H1,-17.245261192329053,10
Ag6Cr6,N1,-277.9756874844679,9
Ag6Cr6,O1,-445.3319608216334,9
Ag6Cr6,S1,-334.7571934802909,9
Ag6Cu6,C1,-154.94210871909308,14
Ag6Cu6,C1H1,-172.8237308446187,10
Ag6Cu6,C1H2,-189.7542194560374,10
Ag6Cu6,C1H3,-207.28508915649581,10
Ag6Cu6,H1,-16.406887707293208,14
Ag6Cu6,H1N1,-293.01352366591163,10
Ag6Cu6,H1O1,-460.0663483035023,66
Ag6Cu6,H1S1,-349.6947693178663,10
Ag6Cu6,H2O1,-476.79586506245687,10
Ag6Cu6,N1,-275.14756414081785,14
Ag6Cu6,O1,-442.85961992735247,14
Ag6Cu6,S1,-333.64667309477954,15
Ag6Ga6,C1,-155.0030310619186,8
Ag6Ga6,C1H1,-172.66805941557686,9
Ag6Ga6,C1H2,-189.679773327538,10
Ag6Ga6,C1H3,-207.42356625630782,10
Ag6Ga6,H1,-15.882822304869478,10
Ag6Ga6,H1N1,-293.0132048845553,9
Ag6Ga6,H1S1,-349.26393202136387,11
Ag6Ga6,H2O1,-476.7757721766029,10
Ag6Ga6,N1,-275.49509419380047,8
Ag6Ga6,O1,-443.3544820726238,8
Ag6Ga6,S1,-333.0783173555028,8
Ag6Hf6,C1,-157.01193161221454,10
Ag6Hf6,H1,-17.247407762341027,10
Ag6Hf6,N1,-278.7837051741735,10
Ag6Hf6,O1,-446.7012622840557,10
Ag6Hf6,S1,-335.4741901794114,10
Ag6Hg6,C1,-154.20303066224733,10
Ag6Hg6,H1,-15.959759771605604,10
Ag6Hg6,N1,-274.3204339914373,10
Ag6Hg6,O1,-442.21453856196604,10
Ag6Hg6,S1,-332.7231814486149,10
Ag6In6,C1,-154.4505707164717,10
Ag6In6,H1,-15.800096024373488,11
Ag6In6,N1,-274.9394924301523,10
Ag6In6,O1,-442.9834504997925,10
Ag6In6,S1,-332.92332131300645,8
Ag6Ir6,C1,-157.33433290459652,10
Ag6Ir6,C1H1,-174.67697302733723,10
Ag6Ir6,C1H2,-190.436436333046,7
Ag6Ir6,C1H3,-207.80264178632206,10
Ag6Ir6,H1,-16.774573504422733,11
Ag6Ir6,H1N1,-293.7076585848263,10
Ag6Ir6,H1O1,-459.99529176103533,20
Ag6Ir6,H1S1,-350.256613645106,10
Ag6Ir6,H2O1,-476.84341110532114,10
Ag6Ir6,N1,-276.9253871159599,10
Ag6Ir6,O1,-443.29861342800723,10
Ag6Ir6,S1,-334.21360322964756,10
Ag6La6,C1,-157.1599822210992,10
Ag6La6,H1,-17.016519986580533,10
Ag6La6,N1,-278.34562869714136,10
Ag6La6,O1,-446.6161352792187,10
Ag6La6,S1,-335.168013538605,8
Ag6Mo6,C1,-157.64725946522958,10
Ag6Mo6,H1,-17.442019225927652,11
Ag6Mo6,N1,-278.35291889899963,10
Ag6Mo6,O1,-445.36267186157784,10
Ag6Mo6,S1,-335.40015208562545,10
Ag6Nb6,C1,-156.9805038244158,8
Ag6Nb6,H1,-17.118283487281587,10
Ag6Nb6,N1,-278.12376938643865,10
